Prompt Cards,Special,Set,Sheet,Version Comments,,Response Cards,Set,Sheet,Version Comments
______ stole my bike!,,Voter's Choice: The Fourth Expansion,Third Party Commercial,,,8 oz. of sweet Mexican black-tar heroin.,CAH Base Set,CAH Base Set,
______ tastes like chicken according to 7 out of 10 albinos.,,The Game Without Decency,Stand Alone Games,,,"8-year olds, dude.",Cards and Punishment Vol. Two,Third Party Commercial,
______ told me to bring ______ to the church picnic.,PICK 2,The Game Without Decency,Stand Alone Games,,,"8,000 baby blankets",Cads About Maternity - A game for bad mommies,Stand Alone Games,
______ tried to suppress this game!,,Conspiracy Theory,Stand Alone Games,,,8=======D,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Third Party Commercial,
______ used ______ to stop the terrorist attack.,PICK 2,The Game Without Decency,Stand Alone Games,,,8th Grade and Pregnant.,"Humanity Hates the Holidays ""Love"" Edition",Stand Alone Games,
______ used the time machine to corner the market on ______.,PICK 2,The Game Without Decency,Stand Alone Games,,,9/11 was an inside job.,WTF Did You Say?!?,Stand Alone Games,
______ was found with ______ in the church graveyard.,PICK 2,The Game Without Decency,Stand Alone Games,,,9/11: Forgive and forget.,The Worst Card Game: 2016 National Edition,Third Party Commercial,
"______ was fun, but then she woke up.",,"Crows Adopt Vulgarity, Vol. 3",Third Party Commercial,,,9/11.,Cakes Athirst Hilarity Volume 2,Third Party Commercial,
______ was my old college nickname.,,Words Against Morality: Volume 1,Third Party Commercial,,,93-year-old virgin voters.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
______ was notably absent from the stripper convention this year.,,Carps & Angsty Manatee - Volume 2,Third Party Commercial,,,939 Million 3000 and 60000 members,Cards Against/For South Africa,Stand Alone Games,
______ was the cause of the Holocaust.,,Cakes Athirst Hilarity Volume 1,Third Party Commercial,,,939 million 3000 and 60000 members,Hilarious!,Stand Alone Games,
______ was the reason I got reverted at Camp May.,,Disgruntled Decks: Coast Guard/Coastie Edition,Stand Alone Games,,,99 bottles of beer,The Game Without Decency,Stand Alone Games,
______ was totally worth the trauma.,,PAX East 2014 - Panel Cards,CAH Packs/Con Exclusives,,,"A .50 cal round tearing through 3 torsos, 2 heads, and a hotdog cart.",Disgruntled Decks: Army Edition,Stand Alone Games,
______ will always get you laid in Toronto,,Cards About Toronto,Third Party Commercial,,,"A ""Get Well Soon!"" balloon from Paul Ryan.",Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Stand Alone Games,
______ will attempt to destroy the Navy. ______ will ensure that threat is defeated.,PICK 2,Disgruntled Decks: Navy Edition,Stand Alone Games,,,"A ""Happy Valentine's Day"" Card from AshleyMadison.com.","Humanity Hates the Holidays ""Love"" Edition",Stand Alone Games,
______ will be the downfall of Western Civilization.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,"A ""hardly noticeable"" herpes sore",The Game Without Decency,Stand Alone Games,
______ will cripple the Marine Corps. ______ will save it.,PICK 2,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,,,"A ""high speed"" specialist saving the 237th Sapper Co. from a disastrous mixture of live rounds and blanks.",Disgruntled Decks: Army Edition,Stand Alone Games,
______ will get you a one-way ticket to Poundtown.,,Evil Apples,Stand Alone Games,,,"A ""personal massager""",The Game Without Decency,Stand Alone Games,
______ will make anyone seem more attractive.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,"A ""Proud Parent of Cannon Fodder"" bumper sticker.",Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
______ will make you sterile.,,Conspiracy Theory,Stand Alone Games,,,"A ""Trump Teens Pedicure Sundae.""",Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Stand Alone Games,
______ will never be the same after ______.,PICK 2,CAH: Blue Box Expansion,CAH Expansions,,,"A ""World's Biggest Asshole"" trophy",The Game Without Decency,Stand Alone Games,
______ will never be the same after ______.,PICK 2,CAH: Fourth Expansion,CAH Expansions,,,A “boudoir-style” photoshoot that turns into something else.,Carbs of the Huge Manatee - Kink Expansion 1,Third Party Commercial,
______ will win you the Mom of the Year award every time.,,Cads About Maternity - A game for bad mommies,Stand Alone Games,,,A “business trip.”,Cads About Matrimony,Stand Alone Games,
______ with _______ always bring a smile to my face!,PICK 2,The Game Without Decency,Stand Alone Games,,,A “business trip.”,Cads About Matrimony Poly Pack,Stand Alone Games,
______ won the talent show by putting a whole ______ in their mouth.,PICK 2,The Game Without Decency,Stand Alone Games,,,"A $1,000 check from Cards Against Humanity!",Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs,
______ works in mysterious ways.,,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Third Party Commercial,,,a $100 plaid shirt,Skewered And Roasted,Stand Alone Games,
______ would be woefully incomplete without ______.,PICK 2,CAH : Second Expansion,CAH Expansions,,,A $19.99 do it yourself wedding,Cards for the Masses,Stand Alone Games,
______ would be woefully incomplete without ______.,PICK 2,CAH Base Set,CAH Base Set,,,"A $2,000 enlistment bonus that definitely wasn't worth it.",Disgruntled Decks: Army Edition,Stand Alone Games,
______ would be woefully incomplete without ______.,PICK 2,CAH: Red Box Expansion,CAH Expansions,,,A $20 bill with Harriet Tubman's face on it.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Stand Alone Games,
______ would only happen in my worst nightmares.,,Cards Against Profanity,Stand Alone Games,,,A $300 banana suit.,Carps & Angsty Manatee - Volume 1,Third Party Commercial,
______ x ______ = ______,"DRAW 2, PICK 3",Cakes Athirst Hilarity Volume 2,Third Party Commercial,,,A $50 cup of coffee literally made from cat shit.,Crabs Adjust Humidity: Volume 1,Third Party Commercial,
"_______ guaranteed, or your money back!",,Bards Dispense Profanity,Stand Alone Games,,,"A $90 million, full-size replica of Noah's Ark.",Cols Against Kentucky 2,Third Party Commercial,
_______ only hurts the first time around,,Pigs Against Profanity: Volume 2,Third Party Commercial,,,A 0.7 waist-to-hip ratio.,Science Pack,CAH Packs/Commercial Packs,
_______ really ruined PrideFest for me this year.,,The Worst Card Game: Colorado Edition,Third Party Commercial,,,A 10 pount jar of ointment.,Clones Attack Hilarity #1,Third Party Commercial,
_______ The root cause of aids,,Pigs Against Profanity: Volume 2,Third Party Commercial,,,A 10-minute shit on company time.,"Crows Adopt Vulgarity, Vol. 4",Third Party Commercial,
________ + ________ makes me extra horny.,PICK 2,Skewered And Roasted,Stand Alone Games,,,A 100-pound teenager who thinks she's fat.,Cards With No Sexuality,Third Party Commercial,
________ doesn’t count as cheating.,,Cads About Matrimony Poly Pack,Stand Alone Games,,,A 103° fever.,Fun in the Oven,Stand Alone Games,
________ helps me achieve inner peace.,,Skewered And Roasted,Stand Alone Games,,,A 12 pack of Cody's,Kiwis Against Morality,Stand Alone Games,
________ is the best part of the newlywed stage.,,Cads About Matrimony Poly Pack,Stand Alone Games,,,a 12 year old,Skewered And Roasted,Stand Alone Games,
________ is the best part of the newlywed stage.,,Cads About Matrimony: Expansion 1,Stand Alone Games,,,A 12-foot scepter of bone.,Absurd Box Expansion,CAH Expansions,
________ keeps me awake at night.,,Skewered And Roasted,Stand Alone Games,,,"A 15 minute blowjob… No more, no less.",WTF Did You Say?!?,Stand Alone Games,
________ makes for good foreplay!,,Skewered And Roasted,Stand Alone Games,,,"A 15-6 investigating the pathetic, plodding death of your career.",Disgruntled Decks: Army Edition,Stand Alone Games,
________ makes my mouth water!,,Skewered And Roasted,Stand Alone Games,,,A 15-minute time-out in the Naughty Corner.,"Crows Adopt Vulgarity, Vol. 1",Third Party Commercial,
________ tends to run in my family.,,Skewered And Roasted,Stand Alone Games,,,A 15-yard penalty for excessive sue of the First Amendment.,Trumped UpCards: Many Sides  Expansion Pack,Stand Alone Games,
________ turns me on!,,Skewered And Roasted,Stand Alone Games,,,A 15cm long dick.,Hilarious!,Stand Alone Games,
_________ - it's gonna be huge!,,Humanity Hates Trump: Base Set,Stand Alone Games,,,A 1970's bush.,Cows Grilling Hamburgers - Patty Pack #1,Third Party Commercial,
_________ baby _________ (repeat)!,PICK 1,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A 1987 Ford Fiesta,The Game Without Decency,Stand Alone Games,
_________ for a more hopeful America.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A 2 EPR that was truly deserved.,Disgruntled Decks: Air Force Edition,Stand Alone Games,
_________ for American families.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A 20 piece chicken nugget meal for one person,Cards for the Masses,Stand Alone Games,
_________ gives me the chills.,,Not Parent Approved,Stand Alone Games,,,A 20+ year age gap between you and your partner.,Carbs of the Huge Manatee - Kink Expansion 1,Third Party Commercial,
_________ hit me right in the feels.,,Charlie Foxtrot,Third Party Commercial,,,a 24 percent equity stake in reality.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
_________ improves over time.,,Not Parent Approved,Stand Alone Games,,,A 28 week abortion.,"Guards Against Insanity, Edition 1",Third Party Commercial,
_________ is all I need to make the tough decisions.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,a 3 hour boner,Skewered And Roasted,Stand Alone Games,
_________ is better than summer vacation.,,Not Parent Approved,Stand Alone Games,,,A 3-1/2 pound shit baby.,Crabs Adjust Humidity: Volume 6,Third Party Commercial,
_________ is Hillary's Watergate.,,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Stand Alone Games,,,A 3-foot tapeworm,The Game Without Decency,Stand Alone Games,
_________ is in bed with Wall Street.,, 2016 Election Game ,Stand Alone Games,,,A 3-hour SECRET flight brief for a 45-minute flight. #WasteMyFuckingTime,Disgruntled Decks: Navy Edition,Stand Alone Games,
_________ is my fave emoticon.,,Not Parent Approved,Stand Alone Games,,,A 3-year-old nudist,KinderPerfect (Commercial Set),Third Party Commercial,
_________ is my secret favorite thing to do when no one is looking.,,Not Parent Approved,Stand Alone Games,,,A 30 thousand dollar millionaire.,Carps & Angsty Manatee - Texas Edition,Third Party Commercial,
_________ is my true passion in life.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,"A 300 horsepower, turbo charged vibrator.",WTF Did You Say?!?,Stand Alone Games,
_________ is so awkward at a sleepover.,,Not Parent Approved,Stand Alone Games,,,A 300-lb dresses as Princess Leia,The Game Without Decency,Stand Alone Games,
"_________ is the law of the land, deal with it.",,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Stand Alone Games,,,A 34-hour SAR mission.,Disgruntled Decks: Coast Guard/Coastie Edition,Stand Alone Games,
_________ is the one thing that would drive me crazy enough to push the button.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A 4 lb. turd log splash that causes blue shitter water to coat your ass cheeks.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
_________ is the real reason Trump declared bankruptcy 4 times.,,Humanity Hates Trump: Base Set,Stand Alone Games,,,a 40 year old virgin,Skewered And Roasted,Stand Alone Games,
_________ is the real reason Trump declared bankruptcy 4 times.,,Humanity Hates Trump: Expansion Pack 1,Stand Alone Games,,,A 45 percent tariff on free speech.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
_________ is the reason for my pass request.,,Charlie Foxtrot,Third Party Commercial,,,A 48-year-old specialist who enlisted under mysterious circumstances.,Disgruntled Decks: Army Edition,Stand Alone Games,
_________ is the reason we constantly have safety briefs.,,Charlie Foxtrot,Third Party Commercial,,,A 5 lb. bag of gummy bears.,Crabs Adjust Humidity: Volume 2,Third Party Commercial,
_________ is the secret to world peace.,,Not Parent Approved,Stand Alone Games,,,A 5-gallon bucket of used condoms.,Crabs Adjust Humidity: Volume 7,Third Party Commercial,
_________ is the subject of Bill Clinton's new book.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A 5-speed shower nozzle,The Game Without Decency,Stand Alone Games,
_________ is what Basic Training is all about.,,Charlie Foxtrot,Third Party Commercial,,,A 50 Shades of Grey sex party.,Clones Attack Hilarity #2,Third Party Commercial,
_________ is what haunts my dreams at night!,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A 50% divorce rate.,Cads About Matrimony,Stand Alone Games,
_________ is/are like roaches - you can't kill them,,Humanity Hates Trump: Expansion Pack 1,Stand Alone Games,,,A 50% divorce rate.,Cads About Matrimony Poly Pack,Stand Alone Games,
_________ is/are not the same thing by any stretch of the imagination as (a) _________.,PICK 2,Humanity Hates Trump: Base Set,Stand Alone Games,,,A 55-gallon drum of lube.,CAH : Second Expansion,CAH Expansions,
_________ is/are Trump's greatest secret to great hair.,,Humanity Hates Trump: Base Set,Stand Alone Games,,,A 55-gallon drum of lube.,CAH: Red Box Expansion,CAH Expansions,
_________ killed my pet goldfish.,,Not Parent Approved,Stand Alone Games,,,A 6-hour conversation on gender and queer theory.,Pride Pack,CAH Packs/Limited Release Packs,
_________ led me to receive an Article 15.,,Charlie Foxtrot,Third Party Commercial,,,a 6-pack,Skewered And Roasted,Stand Alone Games,
_________ makes me have nightmares.,,Not Parent Approved,Stand Alone Games,,,A 6-pack of Red Bull,The Game Without Decency,Stand Alone Games,
_________ should be the start of the conversation on how we can improve as a society.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A 7-Eleven clerk coming off a three-day shift,The Game Without Decency,Stand Alone Games,
_________ this weekend is going to really piss off Sarge.,,Charlie Foxtrot,Third Party Commercial,,,A 7-year-old pageant contestant,The Game Without Decency,Stand Alone Games,
_________ was my nickname at Yale.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A 70 y/o woman wearing a neon Stephen West shawl.,Knitters Against Swatches First Edition,Third Party Commercial,
_________ was the strangest thing I've seen in the US military.,,Charlie Foxtrot,Third Party Commercial,,,A 70-year-old gut truck driver exchanging snacks for hand jobs.,Disgruntled Decks: Army Edition,Stand Alone Games,
